id,tx_name,rx_name,freq,tx_lat,tx_lng,rx_lat,rx_lng,distance,ssn,year,month,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,40,84,8,99,99,99,99,99,20,19,19,27,29,26,21,20,23,22,24,33,40,41,99,99,99,99,99
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,34,84,9,99,99,99,99,99,99,14,13,17,21,20,20,21,21,22,27,31,34,32,99,99,99,99,99
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,29,84,10,99,99,99,99,99,24,20,23,30,35,34,33,33,35,38,38,32,27,23,99,99,99,99,99
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,25,84,11,99,99,99,99,99,99,20,20,26,26,28,32,31,33,32,22,19,17,18,99,99,99,99,99
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,19,85,3,99,99,99,99,99,99,35,33,35,40,39,43,42,36,41,48,44,40,40,99,99,99,99,99
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,18,85,4,99,99,99,99,99,7,99,99,16,99,19,19,15,13,20,26,26,35,40,99,99,99,99,99
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,18,85,5,99,99,99,99,99,21,99,26,31,99,25,99,11,12,12,16,99,99,41,99,99,99,99,99
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,18,85,6,99,99,99,99,99,9,27,28,27,37,36,32,26,13,15,16,99,99,36,99,99,99,99,99
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,17,85,10,99,99,99,99,99,99,25,25,30,38,99,99,40,41,42,41,36,32,32,30,26,23,99,99
1,LUXEMBURG,BOCKHACKEN,6.1,49.40N,6.19E,51.07N,7.16E,175,17,85,11,99,99,99,99,99,99,23,26,32,38,99,99,40,42,42,29,26,26,30,31,30,25,99,99
2,RANCHI,CALCUTTA,3.3,23.24N,85.22E,22.27N,88.18E,319,164,80,1,99,99,99,99,99,99,99,99,99,99,99,99,35,99,99,99,99,99,99,99,99,99,99,99
2,RANCHI,CALCUTTA,3.3,23.24N,85.22E,22.27N,88.18E,319,150,80,10,99,99,99,99,99,99,99,99,99,99,99,99,46,99,99,99,99,99,99,99,99,99,99,99
2,RANCHI,CALCUTTA,3.3,23.24N,85.22E,22.27N,88.18E,319,148,80,11,99,99,99,99,99,99,99,99,99,99,99,99,43,99,99,99,99,99,99,99,99,99,99,99
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,164,80,1,99,99,99,99,99,6,14,26,28,30,31,30,30,29,30,29,30,29,28,30,28,31,16,8
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,159,80,4,99,99,99,99,99,99,5,16,28,34,35,34,31,31,30,29,29,30,31,29,20,12,5,99
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,153,80,7,99,99,99,99,99,99,99,10,17,29,35,36,38,39,37,36,36,37,36,23,16,10,7,6
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,150,80,10,99,99,99,99,4,10,21,29,34,35,35,34,33,35,34,34,33,34,34,35,28,19,10,4
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,140,81,1,99,99,99,99,99,8,16,27,28,29,29,30,29,30,29,29,30,30,30,30,28,28,10,3
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,143,81,4,99,99,99,99,99,99,99,14,24,32,31,32,31,30,30,31,31,31,32,29,14,99,99,99
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,140,81,7,99,99,99,99,99,99,99,99,18,29,35,36,36,36,35,36,36,35,35,22,10,99,99,99
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,142,81,10,99,99,99,99,99,13,19,30,37,36,36,36,36,36,35,37,37,38,36,37,32,20,10,99
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,137,82,1,99,99,99,6,12,16,20,33,35,37,36,38,38,38,38,37,37,38,39,41,40,34,22,15
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,124,82,4,99,99,99,99,99,99,15,23,30,38,38,38,37,36,36,36,36,37,37,34,24,19,12,99
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,115,82,7,99,99,99,99,99,99,99,14,22,31,40,40,42,42,41,42,41,41,40,27,18,12,99,99
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,96,82,10,99,99,99,99,99,14,21,31,35,36,38,37,38,38,38,38,39,38,38,40,31,21,14,99
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,93,83,1,8,99,99,6,6,11,18,31,34,37,36,37,38,39,39,38,38,39,39,40,38,35,20,11
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,82,83,4,99,99,99,99,99,6,15,26,34,39,41,40,41,40,40,40,39,39,40,37,28,19,12,3
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,66,83,7,99,99,99,99,99,5,12,17,26,36,42,43,43,44,43,43,43,43,41,33,23,18,11,7
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,68,83,10,14,11,9,12,16,21,30,36,41,41,40,41,40,41,40,41,41,41,40,42,38,29,22,17
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,60,84,1,99,99,99,99,99,99,22,38,39,39,39,38,38,39,40,40,40,39,39,37,38,37,20,15
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,50,84,4,99,99,99,99,99,10,14,22,30,35,35,36,35,36,35,35,36,35,37,34,24,15,11,99
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,44,84,7,4,99,99,99,99,6,12,18,27,34,39,40,41,40,41,40,39,38,38,31,26,18,14,9
3,SANWA,AKITA,2.5,36.11N,139.51E,39.44N,140.08E,396,29,84,10,9,6,11,10,12,19,25,32,35,36,36,36,36,36,36,36,37,38,37,36,32,26,18,14
4,SANWA,AKITA,5,36.11N,139.51E,39.44N,140.08E,396,164,80,1,28,25,22,24,29,32,34,41,41,42,41,38,38,36,36,31,23,22,23,21,22,41,36,34
4,SANWA,AKITA,5,36.11N,139.51E,39.44N,140.08E,396,159,80,4,18,15,13,16,16,23,32,36,41,44,45,43,42,42,42,42,43,43,42,43,38,36,28,23
4,SANWA,AKITA,5,36.11N,139.51E,39.44N,140.08E,396,153,80,7,14,11,10,12,13,17,23,28,34,40,43,44,44,44,44,43,42,43,42,38,32,27,21,18
4,SANWA,AKITA,5,36.11N,139.51E,39.44N,140.08E,396,150,80,10,16,15,15,18,22,27,33,37,40,40,40,40,39,40,40,40,40,40,40,42,39,33,27,20
4,SANWA,AKITA,5,36.11N,139.51E,39.44N,140.08E,396,140,81,1,24,21,18,21,22,27,31,38,39,39,37,25,23,27,28,27,31,26,26,25,24,40,32,27
